"year","month","state","primary_mode","etiology","etiology_status","setting","illnesses","hospitalizations","deaths","food_contaminated_ingredient","ifsac_category","water_exposure","etiology_category","setting_category"
2001,11,"California","Food","Norovirus Genogroup I","Confirmed","Restaurant: Other",54,0,0,,"Multiple",,"Viral","Food Service"
2001,11,"Florida","Food","","","Private home/residence",25,0,0,,"Grains-beans",,"Unknown","Home"
2001,11,"Florida","Food","Salmonella enterica","Confirmed","Restaurant: Other",2,0,0,,"Multiple",,"Bacterial","Food Service"
2001,11,"Florida","Food","Campylobacter unknown","Suspected","Restaurant: Other",2,1,0,,,,"Bacterial","Food Service"
2001,11,"Florida","Food","Shigella sonnei","Confirmed","Restaurant: Other",3,0,0,,"Beef",,"Bacterial","Food Service"
2001,11,"Florida","Food","","","Restaurant: Other",4,0,0,,"Multiple",,"Unknown","Food Service"
2001,11,"Florida","Food","Shigella sonnei","Confirmed","Restaurant: Other",2,2,0,,"Multiple",,"Bacterial","Food Service"
2001,11,"Georgia","Food","","","Restaurant: Other",14,0,0,,,,"Unknown","Food Service"
2001,11,"Texas","Food","","","Restaurant: Other",5,4,0,,,,"Unknown","Food Service"
2001,11,"Washington","Food","","","Restaurant: Other",2,0,0,,"Multiple",,"Unknown","Food Service"
2001,11,"Washington","Food","","","Restaurant: Other",3,0,0,,"Multiple",,"Unknown","Food Service"
2001,11,"Hawaii","Food","","","Restaurant: Other",3,0,0,,"Mollusks",,"Unknown","Food Service"
2001,11,"Washington","Food","Norovirus Genogroup I","Confirmed","Restaurant: Other",5,0,0,,"Mollusks",,"Viral","Food Service"
2001,11,"Washington","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",21,1,0,,,,"Viral","Food Service"
2001,11,"Washington","Food","","","Restaurant: Other",2,0,0,,"Multiple",,"Unknown","Food Service"
2001,11,"Hawaii","Food","Histamine","Confirmed","Restaurant: Other",5,0,0,,"Fish",,"Chemical","Food Service"
